pais,sede_id,red_social,url
United States,EEEUU,otra,https://www.flickr.com/photos/ARGinUSA/
United States,EEEUU,otra,www.linkedin.com/in/ARGinUSA
United States,EEEUU,twitter,https://www.twitter.com/ARGinUSA
United States,EEEUU,youtube,https://www.youtube.com/ARGinUSA
United States,EEOEA,facebook,https://www.facebook.com/ARGenOEA/
United States,EEOEA,instagram,https://www.instagram.com/argenoea/
United States,EEOEA,twitter,https://www.twitter.com/ARGenOEA
United States,EEOEA,youtube,https://www.youtube.com/channel/UCqjmCa0UfL3_I3Ovqz5ZAag/featured
United States,ENAUN,twitter,https://www.twitter.com/ArgentinaUN
Uruguay,CCOLO,facebook,https://www.facebook.com/ArgentinaenColonia
Uruguay,CMALD,facebook,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal
Uruguay,CMALD,instagram,https://www.instagram.com/consulado_argentino/
Uruguay,CMDEO,facebook,https://www.facebook.com/ArgentinaEnMontevideo/
Uruguay,CMDEO,instagram,https://www.instagram.com/consuladoargenmontevideo
Uruguay,CSLTO,instagram,https://www.instagram.com/consuladoargentinoensalto
Uruguay,EMSUR,facebook,https://www.facebook.com/ArgentinaEnUru/?locale=es_LA
Uruguay,EMSUR,instagram,https://www.instagram.com/argentinaenuru
Uruguay,EMSUR,twitter,https://www.twitter.com/ArgentinaEnUru
Uruguay,EURUG,facebook,https://www.facebook.com/ArgentinaEnUru/
Uruguay,EURUG,instagram,https://www.instagram.com/argentinaenuru/
Uruguay,EURUG,twitter,https://www.twitter.com/ArgentinaEnUru
"Venezuela, RB",EVENE,facebook,https://www.facebook.com/EmbajadaArgentinaEnVenezuela
"Venezuela, RB",EVENE,instagram,https://www.instagram.com/argenvenezuela/
"Venezuela, RB",EVENE,twitter,https://www.twitter.com/argenvenezuela?lang=es
Viet Nam,EVIET,facebook,https://www.facebook.com/ArgentinaEnVietnam/
Viet Nam,EVIET,instagram,https://www.instagram.com/argenvietnam/
West Bank and Gaza,REPAL,facebook,https://www.facebook.com/ArgEnPalestina
